Это событие в зарубежной публицистике также иногда называется " третьей пражской дефенестрацией " .	третьей
Из слов пшат-ремез-драш-сод получается аббревиатура ПаРДеС ( פַּרְדֵּ " ס ) , означающая на иврите также « цитрусовый сад » .	слов
По его словам , у партии отсутствовал механизм реализации своих идей .	реализации
Последним местом работы голландца была сборная Южной Кореи , которую он вывел на чемпионат мира в Германии .	местом
Основу флоры на берегах озера составляют хвойные деревья : кедр сибирский , пихта сибирская , ель , сосна , лиственница сибирская .	составляют
В Браге расположен один из двух кампусов Университета Минью ( ) — высшего учебного заведения , основанного в 1973 году .	высшего
Алексе́й Дми́триевич Жи́лин ( ок. 1766 — не ранее 1848 ) — русский музыкант , композитор .	композитор
Отец академика архитектуры Алексея Николаевича Бекетова ( 1862 — 1941 ) , значительно изменившего архитектурный облик Харькова , автора многих построек в Крыму и на юге России .	автора
Когда Зевс похитил Европу , Агенор направил сыновей на её розыски , наказав без неё не возвращаться .	сыновей
Член-корреспондент АН СССР ( 1953 ) , доктор технических наук ( 1953 ) . Трижды Герой Социалистического Труда .	технических
В экономическом плане Белград является наиболее развитой частью Сербии .	плане
На самом деле Дрейк должен был награбить как можно больше испанского золота и с этим грузом вернуться в Англию .	вернуться
В свою очередь они делятся на районы .	районы
Это означает , что в настоящее время Организация насчитывает в общей сложности 14 стран-членов .	сложности
Волошин в то же время рассказывает об этом своей дочери , и та приезжает к Петру на работу .	рассказывает
После этого у персов осталась только одна опорная база на западном побережье Малой Азии — Галикарнас .	побережье
br > 7 гвардейскому минометному полку ; <	полку
Этот день считается последним днём Второй мировой войны .	последним
Известен случай , когда советский космический аппарат Космос-954 24 января 1978 года с ядерным источником энергии на борту при неконтролируемом сходе с орбиты упал на территорию Канады .	энергии
С вокзала отправляются высокоскоростные поезда TGV в большинство крупнейших городов Франции , а также в Брюссель .	поезда
На рейхстаге , который молодой Генрих созвал на Рождество 1105 года в Майнце , этот конфликт должен был разрешиться в присутствии папских легатов .	молодой
Волостной суд подчиняется надзору воеводы и решает только мелкие дела .	решает
Во время Гражданской войны 1918 — 1920 годов и интервенции независимости от Советской России потребовали северные волости Карелии .	независимости
7 июля немецкие войска подошли к границе Эстонии , а 28 августа последние части Красной Армии покинули Таллин .	границе
Но его план не был принят Мадзини , главнокомандующим войсками Римской республики генералом и военным министром Джузеппе Авецана .	военным
В 2005 г. рыболовецкая отрасль островов выловила в общем 136,2 тыс .	общем
Среди иностранных туристов , посещающих Дрезден , лидируют по численности американцы , итальянцы и россияне .	численности
Иногда она верила , что её муж был её давно умершим отцом .	отцом
Наиболее часто встречаются следующие обозначения для операции дизъюнкции :	обозначения
4 января 1796 года Гойя отправился вместе с королевским двором в Андалусию для почтения останков святого Фердинанда Севильского .	святого
На территории Бордо и его окрестностей размещены предприятия компаний Dassault Aviation , Safran SA ( бывшая Snecma ) , EADS и Thales .	компаний
Вложения капиталов , в том числе иностранных , шли в основном в маслосыроделие , лесоразработки , золотодобычу , зерновое хозяйство .	хозяйство
Команда закончила сезон на 13-м месте и в стыковых матчах прошла « Шинник » .	прошла
Старший лейтенант Иванов погиб при таране смертью храбрых , защитив Родину своей грудью .	лейтенант
В настоящее время ведутся работы по подготовке к выводу данных реакторов из эксплуатации .	подготовке
После объединения Германии мать Меркель активно участвовала в работе СДПГ , да и Хорст Каснер также не был замечен в особых симпатиях к ХДС .	участвовала
В 1975-78 работал грузчиком , монтажером и лаборантом в Государственном музее искусства народов Востока , в 1978 — в ГМИИ им .	музее
- в 2012 году – 1 место в крае заняла городская программа развития физкультуры и спорта ;	программа
Центр имеет аспирантуру , готовящую кадры по специальности 05.25.03 — Библиотековедение , библиографоведение и книговедение .	специальности
Совместно Ханси и Джон выпустили альбомы Demons & Wizards ( 2000 ) и Touched by the Crimson King ( 2005 ) в жанре пауэр-метал .	жанре
Украина , правда , с первых же дней начала тормозить процесс формирования ЕЭП , стремясь к получению односторонних политических и экономических преимуществ .	формирования
После лабораторной обработки по обращаемому процессу на эмульсии образовывалось растрированное чёрно-белое изображение , состоящее из серых пятен , расположенных под крахмальными светофильтрами .	изображение
С одной стороны утверждается , что « вечные ценности » — это тоталитарные и параноидальные идефиксы , которые препятствуют творческой реализации .	реализации
% голосов ) опять победил Бесидже ( 37	победил
Хотя состояние здоровья Галилея ухудшалось , но он продолжал работать в разрешённых для него областях науки .	здоровья
Выбор из 100 песен , звучавших в течение 10 лет в эфире « Нашего радио » , был сделан путём голосования радиослушателей .	радио
Флуоксетин особенно эффективен с оланзапином и производится в комбинации с ним под названием для лечения биполярных депрессивных эпизодов и резистентных депрессий .	лечения
Когда римская экспансия временно привела к пату , Флор определил это время в « Эпитомах » как « inertia caesarum » — « бездействие цезарей » .	временно
На 1 января 1935 года здесь находилось 38 колхозов , 2 трестированных совхоза ( молмясосовхоз Кушумский и сортсемсовхоз имени Яковлева ) .	находилось
Затем двое из них поднялись на крышу подсобного здания перед Белым домом и развернули аналогичный плакат .	двое
В 1922 году переехал в США , получив приглашение от своего бывшего студента Зелова .	получив
Будучи одним из авторов концепции структурного программирования , он проповедовал отказ от использования инструкции GOTO .	авторов
В 1-м типе классических краевых условий задают первые производные ( касательные ) на краях сплайна ; во 2-м типе — задают вторые производные ( кривизну ) ;	условий
Постживописная абстракция ( ) , хроматическая абстракция — течение в живописи , зародившееся в Америке в 1950-е гг .	живописи
Си́нти-поп ( ; также известный как те́хнопоп ) — жанр электронной музыки , который стал известным в 1980-х , в котором синтезатор является доминирующим музыкальным инструментом .	известным
Мишель Пастуро объясняет это тем , что конкуренцию гербам в качестве опознавательного знака составили новые эмблематические формы — монограммы , криптонимы , значки и девизы .	составили
Принцип работы условного « И » в аналогичной ситуации :	ситуации
Ларионов говорил в интервью :	говорил
Разумеется , виновный должен осознавать два последних обстоятельства в момент совершения деяния , иначе в его действиях не будет состава преступления .	действиях
15 декабря 1934 года постановлением ЦИК СССР Хибиногорск был переименован в Кировск в память о С. М. Кирове , убитом 1 декабря 1934 года .	переименован
Идея о всеобщем распространении клеточного деления как способа образования новых клеток закрепляется Р .	деления
После смерти внука Узбека , хана Джанибека ( 1357 ) , начался период смут .	начался
Его интерес к социальным феноменам подогревался актуальными политическими событиями .	интерес
В адаптированной для использования в Российской Федерации версии МКБ-10 присутствует подрубрика бредового расстройства — паранойя ( в неё также включается и « паранойяльное развитие личности » ) .	личности
В большом количестве определяется в тонкой кишке , печени и почках , только около 1-3 % проникает в головной мозг .	определяется
Жаропонижающее действие связано также с влиянием на гипоталамические центры терморегуляции .	влиянием
Увеличивались объёмы и структура предоставляемых кредитов , охватывая различные отрасли экономики от инфраструктуры до решения социальных вопросов .	социальных
В Кронштадт на постоянное место жительство переселяли дворян , купцов с семьями и многочисленных работных людей .	многочисленных
« Конец Санкт-Петербурга » — немой художественный фильм режиссёра В. И .	художественный
Ангелы давно появились в литературе , ещё во время романтизма , особенно падшие ангелы .	литературе
В январе 1991 года уволен из Гостелерадио СССР за освещение событий в Литве и Латвии .	уволен
В 1934 году прошла масштабная реорганизация футбола на ЛМЗ .	прошла
Служил приставом Черепановского рудника , помощником управителя Змеиногорской конторы , управителем Салаирской конторы , в 1872 — 1883 — управителем Барнаульского сереброплавильного завода .	помощником
Пригородными поездами связан с Екатеринбургом , Нижним Тагилом , Серовом , Сосьвой и Артёмовским .	связан
В Соединённых Штатах , где обычно и происходит путаница , виккане различных традиций , которые происходят из гарднерианской традиции , могут называть себя викканами британской традиции .	британской
С другой стороны , при желании и возможностях , может быть создано сложное убранство с росписями в самых разных стилях .	создано
Десять лет спустя после своего завершения сериал входил в топ-30 списка " TV Asahi " 100 популярнейших аниме в 2005 и 2006 годах .	завершения
Для того , чтобы изменить это , в 1997 году лев был привязан к немецкой марке ( DEM ) в соотношении 1000 левов =	немецкой
Современный рельеф образовался в результате деятельности ледникового покрова ( последнее Валдайское оледенение было 12 тысяч лет назад ) .	последнее
Русские войска едва успели построиться для битвы .	битвы
Где такой глины не было , использовали красножгущуюся глину .	использовали
На долю сельского хозяйства приходится 35-40	приходится
2 октября иранский F-4E был сбит огнём 30 мм пушки иракского Су-20 .	огнём
В Московской консерватории имя Арама Хачатуряна занесено на мраморную доску лучших выпускников музыкального вуза .	консерватории
СМИ Публикации по теме " " Донецкий национальный университет	национальный
В 1731 году написал ряд картин для триумфальных ворот , воздвигнутых для встречи в Петербурге императрицы Анны Иоанновны .	встречи
В 1830 году Османская империя де-юре признала суверенитет Сербии .	империя
В случае умеренного бронхоспазма или необходимости проведения вспомогательной ( искусственной ) вентиляции легких рекомендуются более низкие дозы - 0.5 мл ( 10 кап ) .	необходимости
Одновременно начала набирать популярность тенденция к понижению царских врат и более « лёгкому » иконостасу или преграде .	популярность
Николаю Рыбникову помогал вживаться в образ 23-летний Григорий Пометун , впоследствии заслуженный сталевар Украины .	заслуженный
По механизму образования — первичное ( рождённое в источнике ) и вторичное ( образованное в результате взаимодействия излучения другого типа с веществом ) ионизирующее излучение .	другого
От истока до 270 км река мелководна , шириной 10 − 30 м , глубиной около 1,0 м .	шириной
В данном случае , поклонение Васудеве и Санкаршане ассоциируется с культом Нараяны .	данном
В мусульманской традиции данное явление связывают с деятельностью джиннов .	деятельностью
Фрагмент видео « Ни шагу назад » вошёл в фильм Солдатенкова « Барды покидают дворы , или Игра с неизвестным » .	видео
В 1976 году советские власти обменяли Буковского на лидера чилийских коммунистов Луиса Корвалана , после чего Буковский переехал в Великобританию , живёт в Кембридже .	живёт
Вместе с родителями Анна жила в усадьбе деда с материнской стороны — орловского губернатора Ивана Петровича Вульфа , чей потомок Дмитрий Алексеевич Вульф являлся её внучатым племянником .	губернатора
Кеплер впоследствии писал : « Пусть эта звезда ничего не предсказала , но , во всяком случае , она возвестила и создала великого астронома » .	великого
Так как Австралия , Новая Зеландия и ЮАР совместно организуют ряд соревнований ( Чемпионат регби , Супер Регби ) , руководство их общими проектами осуществляет организация SANZAR .	соревнований
В парке , заложенном 30 октября 1986 года , на площади 3 гектара посажено около 2000 экземпляров культурных растений , деревьев , кустарников .	экземпляров
Население района Гайсмар ( ) состоит в основном из коренных немцев , но есть и представители других национальностей , в том числе русскоязычные жители .	немцев
Данные картинки и пояснения к ним выражают десять этапов постижения бодхисаттвой просветления и совершенной мудрости .	десять
1934 — 1939 — административный центр Хабаровской области Дальневосточного края .	административный
В первом раунде « Хищники » потерпели поражение от « Сан-Хосе » , Форсберг набрал четыре очка в пяти матчах серии .	раунде
Путешествия соавторов , как правило , носили характер творческих командировок , из которых они привозили материалы для будущих очерков и литературных произведений .	материалы
Тем не менее , особого успеха своим издателям песня не принесла .	успеха
Управление округа было сформировано на базе управления Орловского военного округа и находилось в городе Чкалов .	находилось
Район назван в честь советского партийного и государственного деятеля М .	советского
Для того чтобы шарльер поднялся в воздух , газ должен быть легче воздуха .	воздуха
Строители Второго Храма были вынуждены сочетать в его устройстве архитектуру Храма Соломона с теми элементами Храма Иезекииля , описание которых достаточно ясно и понятно .	описание
Грузоподъёмность пропорциональна разности между 28,7 и молекулярным весом газа .	газа
Из-за этого совпадения масоны более не могли использовать незабудку как тайный знак принадлежности к обществу .	знак
После драматического поражения , йеменские друзы мигрировали в Сирию в область Джебель-друзов и её столицу , Сувейда .	поражения
24 октября 1797 года уволен с сохранением жалования в Спасо-Преображенский Новгород-Северский мужской монастырь , которым управлял до смерти , 12 января 1799 года .	уволен
Но жена Рауля приходилась племянницей графу Шампани Тибо Великому , создавшему сильное графство к востоку от Парижа .	востоку
17 апреля 2012 года производство этих автомобилей было прекращено .	автомобилей
Хостинскому внутригородскому району , кроме Хосты , подчинены 2 сельских округа Барановский и Раздольский .	сельских
К тому же для древнегреческих авторов было характерно называть богов иноземных традиций именами божеств греческого пантеона .	авторов
После освобождения Митник к хакерству не вернулся , во всяком случае , официального подтверждения этому нет .	освобождения
Хранение : список Б. В сухом , защищённом от света месте при температуре от 15 ° С до 25 ° С .	света
Второй сезон транслировался на канале TVK с 13 октября по 29 декабря 2003 года и состоял из 12 серий и одного бонусного эпизода .	канале
Вскоре лидер оппозиции оказалась под домашним арестом , а запланированный её сторонниками « долгий марш » в Исламабад был запрещён .	оказалась
Эти соединения достаточно прочные и имеют солевой характер .	соединения
На реке ( в верхнем и среднем течении ) много перекатов , быстрин , небольших порожков , завалов .	небольших
Александр сумел завоевать доверие как персов , так и афинян , которые присвоили ему звание Филэллина , то есть друга эллинов .	сумел
К ним добавился Иван Гореловский , который в звании генерал-лейтенанта стал отвечать за административно-хозяйственную деятельность .	звании
Иримадзири , бывший исполнительный директор автомобильного концерна Honda , шутливо сравнивал данную сумму с инвестициями , необходимыми на разработку нового автомобиля .	автомобиля
Весь день на площади продолжались перестрелки , огонь велся с проезжающих мимо площади БТР и с крыш окрестных домов .	огонь
За защиту батраков Котовский был арестован в 1902 и 1903 годах .	защиту
Партия была переименована в Либерально-демократическую партию России ( ЛДПР ) .	партию
В 1834 году город был переименован в Торонто , и его мэром стал Уильям Маккензи .	переименован
В конце 1980-х годов курорт всесоюзного значения располагал 180 санаторно-курортными учреждениями , ежегодно на отдых и лечение в Ялту приезжало около двух миллионов человек .	ежегодно
В 1802 — 1805 годах были капитально отремонтированы башни : почти все отводные стрельницы были разобраны .	башни
4 августа 1854 года во время Крымской войны Османская империя взяла свой первый кредит .	империя
Так в трактате « Об управлении империей » византийского императора Константина VII Багрянородного упоминается « остров святого Григория » ниже днепровских порогов .	святого
Английские власти не обращали внимание на призывы арабских лидеров к уничтожению еврейской общины в Хевроне .	лидеров
Как заявил глава международного комитета Госдумы РФ Константин Косачёв , это « абсолютно политизированное решение , которое не способствует авторитету этой нобелевской премии » .	глава
Помимо амфибийных танков , были также « Шерманы » , получившие шнорхели для преодоления мелководья .	танков
В начале июля 1904 года пароходы Добровольного флота « Петербург » и « Смоленск » вышли из Севастополя и 7 июля вошли в Красное море .	вышли
… Пусты и полны заблуждений те науки , которые не порождены опытом , отцом всякой достоверности , и не завершаются в наглядном опыте …	отцом
К сужению бронхов приводят следующие причины : Обструкция усиливается на выдохе , так как в этом случае происходит динамическое сужение дыхательных путей .	путей
12 станций имеют пересадку на объекты железнодорожной инфраструктуры ( вокзалы , станции и платформы ) .	железнодорожной
С момента основания музея и до 1917 года семья Уваровых значительно расширила музейные фонды , передавая свои библиотеки и архивы .	библиотеки
Скандал парализовал работу украинского парламента на 2 месяца .	парламента
В следующем году Camel заново записывает в студии один из лучших своих альбомов , знаменитый The Snow Goose .	альбомов
Камболов в своей работе по языковой ситуации в Северной Осетии , рядом осетин признается определённая проблема с переводом « осетины , Осетия » на диалекты осетинского языка .	ситуации
На начало 2012 года на территории городского округа действовало более 423 предприятий всех форм собственности в отраслях производственной сферы .	форм
В результате на экране зритель видит неподвижный объект , в то время как камера как бы движется вокруг него .	объект
После её презентации Лонеру он получает должность главного конструктора компании и приступает к разработке .	разработке
Здание театра является выявленным объектом культурного наследия .	наследия
— начале XX веков ознаменовалось популяризацией его за пределами Индии , Юго-Восточной Азии и Африки .	пределами
14 марта правительственный отряд Деколонга освободил от осады Далматов монастырь , но имущество тех , кто ушел под защиту монастыря и для его защиты , было разграблено .	защиту
Величина выделившейся в ядерном реакторе полезной энергии урана характеризуется понятием глубины выгорания .	энергии
За несколько дней до встречи один из поклонников Гиппиус продемонстрировал Мережковскому фотопортрет девушки .	встречи
Омывается Белым , Баренцевым , Печорским и Карским морями Северного Ледовитого океана .	океана
Причем проблемы возникновения , формирования и развития обычного права носят многоплановый характер , поскольку его нормы являются элементами национальной культуры .	формирования
16 апреля 2009 года в Чеченской республике официально отменён режим контртеррористической операции .	режим
В последний раз сведения о числе каст были опубликованы в 1931 году ( 3000 каст ) .	сведения
Вернувшись в Египет , Моисей именем Бога требует у фараона отпустить его народ , демонстрируя чудеса , призванные убедить фараона и его приближённых в божественности его предназначения .	требует
В XX веке были найдены новые источники по ранее неизвестным иранским языкам « среднего периода » — согдийскому , хорезмийскому , сакскому и др .	среднего
В 1517 году Франциско Эрнандес де Кордова открыл полуостров Юкатан , где испанцы впервые встретились с развитой цивилизацией майя .	открыл
Из Баку вывозились различные товары в Золотую Орду , русские княжества , Иран и Среднюю Азию .	княжества
Его секреция резко повышается при стрессовых состояниях , пограничных ситуациях , ощущении опасности , при тревоге , страхе , при травмах , ожогах и шоковых состояниях .	резко
Но значение Драгоманова для развития всей украинской литературы никто не мог отрицать .	никто
В 2010 — 2011 годах создаётся новая модель ретро автомобиля — Mini Countryman .	автомобиля
С потерей Крыма советская авиация лишилась бы возможности налетов на нефтепромыслы Румынии , а немцы смогли бы наносить удары по целям на Кавказе .	смогли
В этом смысле его преступление стало « полезной прелюдией к реформам » .	смысле
Судя по преномену , Публий Сервилий не был старшим сыном отца .	старшим
В 1166 году он вторгся в Бретань и принудил Конана отречься от титула герцога в пользу дочери Констанции , опекуном которой стал сам Генрих II .	герцога
В 1852 году сын Уильяма Гершеля — Джон Гершель — дал названия четырём известным тогда спутникам .	известным
Алехина вызывали на допрос , где он дал объяснения по этому поводу , после чего дело было прекращено .	поводу
Другим известным показателем степени неравномерности кумулятивного распределения является коэффициент Джини , предложенный итальянским экономистом и социологом Коррадо Джини в 1912 году .	известным
Подход к организации работных домов в России в период их массового распространения в конце XIX	распространения
" " Брюгге ( футбольный клуб )	футбольный
Василий Сталин приказу не подчинился .	приказу
Рельеф гор образовался вследствие сильных древних землетрясений .	древних
За поражение персиян на Араксе Котляревский награждён — чином генерал-лейтенанта , а за Асландуз — орденом Святого Георгия 3-го класса .	3-го
В отличие от бабочек , активных в светлое время суток , виды , активные в сумерках или ночью , обладают иной защитной окраской .	активных
Культурная жизнь российских немцев активизируется и становится более разнообразной , если сравнивать с временами первых наплывов переселенцев .	немцев
Так как гомосексуалы являются сексуальным меньшинством , возникают проблемы , связанные с их дискриминацией .	связанные
Для нового тренера начало сезона выдалось не самым лучшим .	тренера
На встрече с руководством России в 2009 году Бакиев обещал президенту Медведеву закрыть американскую военную базу в аэропорту Манас .	военную
Город был официально переименован в Стамбул в 1930 году в ходе реформ Ататюрка .	переименован
• идентификационный номер налогоплательщика ( для работодателей , за исключением работодателей - физических лиц , не являющихся ИП - индивидуальными предпринимателями ) ;	номер
На сцене курортного зала устраивались спектакли и феерверки , город посещают известные по всей империи музыканты и актеры , а в 1837 году наследник престола Александр II .	известные
