Стрелок ранен и находится в больнице под контролем спецслужб .	ранен
Общая площадь жилого фонда города составила 303,1 тыс. м ² , в т. ч. 169,6 тыс. м ² в индивидуальных жилых домах и 133,5 тыс .	фонда
Первые перевооружённые « Шерманы » прибыли в Корею 31 июля 1950 года в составе 8072-го батальона средних танков , и 2 августа вступили в бой у Чунгам-Ни .	танков
Б. Эльконин говорил о чувстве взрослости как о центральном новообразовании .	говорил
По воспоминаниям Марии Карловны Куприной , однажды во время обеда в их доме Бунин , гордившийся своей родословной , назвал её мужа « дворянином по матушке » .	мужа
Они побеждают в пьяном велопробеге , в перетягивании каната и в конкурсе благотворительности .	конкурсе
Самые высокие стены были возведены вдоль Красной площади , где отсутствовала естественная водная преграда .	стены
Активисты проникли в лабораторию в университете Айовы , выпустили на волю около , а затем разлили на полу опасные химические вещества .	вещества
Приезжие из Хабаровского края и Амурской области на собственных автомобилях часто отдыхают « дикарями » , образуя вдоль берега многокилометровые палаточные городки .	берега
Через деревню проходит автодорога 41К-078 .	деревню
Аквато́рия ( от — вода , " territorium " — территория ) — участок водной поверхности , ограниченный естественными , искусственными или условными границами .	вода
По конструкции корпуса дирижабли делятся на три типа : нежёсткие ( мягкие ) , жёсткие и полужёсткие .	конструкции
В 1950-х в айнском языке было выделено 23 диалекта , однако ранее , видимо , их количество было больше .	1950-х
Собаки благодаря своей способности даже во сне улавливать ультразвуки , издаваемые этими рукокрылыми , вовремя отгоняют их .	способности
Его стиль соединяет в себе элементы и психологизма , и натурализма .	стиль
В июне 1952 года семья Томаса Манна возвращается в Швейцарию .	возвращается
В самом центре на возвышении была помещена фигура самого Августа , а на переднем плане и как бы под ним — сцена Рождества Христова .	плане
После выступления Мирей зрителям раздали листочки с вопросами :	выступления
Ничто не должно быть « святой землёй » , священной Незыблемой Правдой , позитивной или негативной .	святой
В 21 случае один из родителей был гражданин СНГ .	родителей
Рахманова , — играет … со всей проникновенностью , с пугающей почти достоверностью постижения самого естества „ последнего в роде “ , обречённого царя .	играет
С конца 1980-х годов стадион стал использоваться для проведения концертов .	использоваться
Также усилия от корпуса воспринимаются упорной фермой через шпоночное соединение .	соединение
В то время здесь уже находилась резиденция епископа , а в XIII веке были основаны доминиканский и францисканский монастыри .	епископа
В России в XV — XVII веках переводят с греческого , латинского и европейских языков и переписывают описания лекарственных растений .	европейских
В одних штатах Индии его связывают с восшествием на престол Айодхьи аватары Рамы , в других — с супругой Вишну , Лакшми .	престол
В самом начале франко-прусской войны вышла российская декларация о нейтралитете .	российская
В итоге в правительство из « Яблока » так никто и не вошёл , однако Явлинский заявил о готовности поддерживать нового вице-премьера в его деятельности .	никто
11 сентября 1785 года по приглашению Готфрида Кёрнера Шиллер переезжает в деревню Лошвиц неподалеку от Дрездена .	деревню
Все эти события относятся большей частью уже к 1960-м годам .	годам
При императрицах Анне Иоанновне , Елизавете Петровне , Екатерине II в операх принимали участие певчие Придворной певческой капеллы , до этого исполнявшие только духовные песнопения .	принимали
У подножия башни установлен позорный столб , перед которым ставили осужденных и зачитывали им приговоры .	башни
Детство Капоте было осложнено разводом родителей , долгим отсутствием матери и многочисленными переездами .	родителей
Именно с этой целью Джон Лассетер поставил своей первый фильм , Luxo Jr .	поставил
Во время этой реконструкции из первоначальных материалов остались только камни , а все другие элементы были заменены , включая крышу .	остались
Каракал способен долгое время обходиться без воды , получая жидкость из съеденной добычи .	долгое
В Азии ( Индия , Персия ) с ручными каракалами охотились на зайцев , фазанов , павлинов и мелких антилоп .	мелких
Сталинское командование бросало все новые и новые части на прорыв укрепленной полосы финской обороны , не считаясь ни с какими потерями .	командование
Александр II был особо страстным любителем охоты .	особо
С 28 сентября по 16 октября 2005 года в аргентинском городе Сан-Луис проходил матч-турнир на звание чемпиона мира по шахматам ФИДЕ .	чемпиона
Также построен во времена Ирода , расположен вдоль морского побережья .	побережья
Количество аварий на этих предприятиях ежегодно растет .	ежегодно
При прямом соединении пар в кабеле ( « один к одному » ) , этот стандарт будет работать автоматически .	одному
В 1999 году акционером « Ижмаш-Авто » стала группа компаний « СОК » под руководством президента Юрия Качмазова .	компаний
В английском языке для слова « internationalization » принято сокращение « i18n » .	английском
В том же году Арудж Барбаросса захватил город и после заказного убийства Селима стал фактическим правителем города .	убийства
Специальная компьютерная программа регулирует струи воды , музыку и свет , которые их сопровождают .	программа
Тем самым были обеспечены последующие подписание президентом ФРГ всех Восточных договоров ( в том числе с Польшей и ГДР ) и их ратификация в бундестаге .	последующие
Киевляне приобретали опыт в играх на первенство спортивного общества « Динамо » .	опыт
Ремонт и восстановление укреплений проводились с 1817 по 1822 годы .	проводились
В марте 1897 года российские войска приняли участие в международной миротворческой операции на Крите после греко-турецкой войны .	международной
В 1949 — 1966 годах проводились реставрационные работы храмов погоста .	проводились
В следующем , 1578 году , Спенсер уехал в графство Кент , где был назначен на должность секретаря Джона Янга , епископа Рочестерского ( ) .	епископа
Сохранился греческий перевод с армянского осуществленный , вероятно , в 464 — 468 годах .	перевод
31 июля 1969 года Александра ездила в Гамбург на переговоры со своей звукозаписывающей компанией .	переговоры
В 1895 году Лайбах пострадал от сильного землетрясения интенсивностью до 9 баллов , восстановлением города по проекту Макса Фабиани занимались австрийские и чешские архитекторы .	проекту
В Перми действует завод по производству вторичного алюминия ( ОАО « Пермские цветные металлы » ) .	действует
Недолгое время он находился при дворе Карла Орлеанского в Блуа .	дворе
, Поантвардзе , Ковенская губерния — 3 января 1944 , Париж ) — русский и литовский поэт-символист и , дипломат .	губерния
Сова не охотится вблизи гнезда , поэтому птицы охотно селятся поблизости от сов , которые защищают свою территорию от других хищников .	вблизи
" " Горн ( сборник )	сборник
« DONKEY.BAS » являлась технодемкой системы PC-DOS и языка « Бейсик » , является предшественником всех игр IBM PC .	являлась
Реагирует с некоторыми активными металлами , и с щелочными металлами :	активными
После этого армия Густава II вновь попыталась прорвать польскую оборону в Померании , но смогла лишь захватить городок Бродницу .	смогла
Эти ранние псовые эволюционировали , вероятно , с целью быстрого преследования добычи в травянистых сообществах ; по внешнему виду они напоминали современных цивет .	виду
Наполеон Бонапарт был человеком революции , а окружающие его маршалы , блестящие военачальники , происходили подчас из самых низов .	человеком
Позже Кустурица заявил о том , что не хочет больше работать в Голливуде .	хочет
Он упоминается в повести « Хоббит , или Туда и обратно » .	обратно
В начале 1830-го он ушёл в отставку и вскоре умер близ колумбийского города Санта-Марта 17 декабря 1830 года .	ушёл
Величина этого тока экспоненциально зависит от расстояния образец-игла .	зависит
Участвовал в сражении при Бауцене .	сражении
Современное здание было построено в 1825 — 1833 годах .	построено
Первые признаки лечебного эффекта отмечаются обычно не ранее 3-го месяца постоянного приёма .	3-го
В 1869 году определён законоучителем и священником Павловского военного училища .	училища
С 2007 года возобновила сотрудничество с Алексеем Поповым в рамках различных проектов .	проектов
Проработав всего год в компании Эдисона , Тесла приобрёл известность в инженерных кругах .	известность
В настоящее время « Металлург » выступает в Дивизионе Харламова Восточной конференции .	конференции
Угнетение центральной нервной системы , раздражительность , дизартрия , аллергические реакции .	реакции
В 1797 году Гёте и Шиллер провели состязание в написании баллад ( « год баллад » ) , дав таким образом толчок развитию жанра .	развитию
Поп-музыка включает в себя такие поджанры , как европоп , латина , синтипоп , диско , танцевальная музыка и другие .	музыка
В современной версии пигментной печати цветоделённые негативы изготавливаются на безусадочной плёнке лазерным принтером и снабжаются перфорацией , повышающей точность совмещения частичных изображений на специальных направляющих .	печати
Артиллерийские ДОТы представляли собой полукапониры на 2 орудия .	орудия
Генрих Гейне умер 17 февраля 1856 года в Париже и был похоронен на кладбище Монмартр .	похоронен
В области математики платонизм рассматривается как основное направление в философии математики , особенно в том , что связано с математическими основами .	направление
Как полагает Досс , структуралистский « отлив » был условным : исследования в социальных науках продолжались , хотя стали более комплексными , менее умозрительными и событийными .	социальных
С начала XX века ученые спорят о византийских корнях стиля Эль Греко .	стиля
Венгерова была также мать поэта Осипа Мандельштама Флора Овсеевна Вербловская .	поэта
Однако их цели различны .	цели
С 1894 по 1897 год Куинджи был профессором-руководителем пейзажной мастерской Высшего художественного училища при Академии художеств .	училища
Чтобы переместиться даже на небольшое расстояние , часто нужно прорубать дорогу .	расстояние
Режиссёр-постановщик выступлений группы « Последний шанс » .	выступлений
В Северодонецке 48 улиц , 4 проспекта .	улиц
Возглавляемый директором ДГиСД разделялся на Горный совет ( общее присутствие департамента ) и рабочий аппарат в составе 7 отделений .	департамента
Хихо́н ( , ) — прибрежный промышленный город и муниципалитет в Астурии , Испания .	муниципалитет
В 2014 году были проведены первые олимпийские соревнования по дисциплине параллельный слалом .	соревнования
Древнейшими свидетельствами интереса , проявленного римскими христианами к Марии , являются две фрески II и III веков , находящиеся в катакомбах святой Присциллы в Риме .	святой
Эволюция организмов происходит посредством изменения наследственных признаков организма .	посредством
В качестве броуновских частиц Перрен использовал зёрнышки смолы мастикового дерева и гуммигута — густого млечного сока деревьев рода гарциния .	использовал
По факту незаконной постройки дома на охранной территории « Транснефти » Комитет Госдумы по безопасности подготовил обращение к Генеральному прокурору РФ Юрию Чайке .	постройки
В 1570 году на землях Ливонской конфедерации царь Иван IV Грозный создал Ливонское королевство , во главе с датским принцем , герцогом Магнусом , вассалом Русского царства .	царь
В перерывах между съёмками « Друзей » Энистон снималась в различных фильмах .	фильмах
После этой церемонии ближайшие родственники становятся обязанными к уплате недостающей суммы , а в случае , если должник не имел имущества , то всего вергельда .	церемонии
Город находится на острове в юго-восточной части Персидского залива в четверти километра от материка .	залива
Александр Павлович Сабанеев ( 1842 — 1923 ) — русский химик , заслуженный профессор и декан физико-математического факультета Московского университета .	заслуженный
И ты отказываешься покинуть бродячего пса ! »	покинуть
Высадившись на берег , Диаш обнаружил поселение готтентотов и , поскольку тогда был день св .	берег
Осенью 1900 года в Лондоне для этих целей регистрируется компания .	целей
Годовая сумма осадков от 180 — 200 мм на юге до 280 — 290 мм на севере области .	осадков
Впоследствии идеи Богданова опосредованно повлияли на концепцию контркультуры .	идеи
Например , в губок обитает множество бактерий , причём все исследованные к настоящему времени виды губок имеют симбиотические ассоциации с одним или более видами бактериальных симбионтов .	ассоциации
Начиная с конца XIX века , в математике появляются примеры самоподобных объектов с патологическими с точки зрения классического анализа свойствами .	анализа
В 1951 г. был синтезирован , а в 1955 г. испытан в клинической практике первый современный транквилизатор , мепробамат .	практике
В Международной системе единиц ( СИ ) сила Лоренца выражается так :	единиц
Были основаны десятки станиц в предгорьях , в том числе и станица Георгиевская напротив Георгиевска в 1829 году .	напротив
В советское время археологи исследовали курганы на перевале и оказалось , что один из курганов представляет собой могильник , относящийся к сако-усуньскому периоду .	оказалось
Билеты на все 8 выступлений ( с 28 мая по 3 июня ) были распроданы .	выступлений
На более продолжительных отрезках времени наклон эклиптики к экватору колеблется относительно среднего значения с периодом приблизительно 40 000 лет .	среднего
Приёмной дочерью Клиндворта была Винифред Уильямс ( впоследствии жена Зигфрида Вагнера , а после его смерти руководительница Байрейтского фестиваля ) .	фестиваля
Существует гностический апокриф — Евангелие от Филиппа ( создан в III — IV веках ) , а также апокрифический текст Деяния Филиппа .	текст
Опять никто не выполняет .	никто
12 апреля 2006 Елена выпустила второй альбом на греческом под названием ' Iparhi Logos ' , который позже стал платиновым .	выпустила
Путешествуя по Крыму в 1837 г. , член Российской АН Анатолий Михайлович Демидов писал : « Из Салгира воду берут вёдрами и возят в бочках » .	воду
Будучи связанными с реками , ручьями и озерами , они умирали если их водный объект пересыхал .	объект
Позднее установят подробности подвига П. Б. Вихрева , политрука 6-й стрелковой роты 2-го сб 1075-го сп : « 16 ноября 6 ср. вела тяжелый бой у д .	роты
С одной стороны это явная пародия на вестерн , и в то же время боевик и высоко патриотическая картина .	картина
Микрокод процессора — горизонтально-вертикальный , ширина команды — 72 бита , объём — 8192 команды .	объём
Старейший из ныне существующих профессиональных спортивных клубов города .	клубов
В 1965 году открыто медицинское училище .	открыто
Серокрылые получают имена из снов , которые они видят , находясь в коконе ( к детям , младокрылым , это не относится ) .	имена
Территория компактного проживания азербайджанцев включает также почти всю провинцию Зенджан к югу от Иранского Азербайджана .	провинцию
При необходимости увеличивают дозу до 2 драже 3 раза в день .	необходимости
Перстни же носили на всех пальцах обеих рук , и каждый перстень мог иметь какое-либо смысловое значение .	обеих
Переводил французских , итальянских и античных авторов .	авторов
По критерию " социальной значимости " встречаются социально положительные группы , асоциальные — социально деструктивные , антисоциальные — криминальные , преступные группы .	социальной
В октябре и ноябре группа провела несколько выступлений на различных площадках Лондона .	выступлений
Под руководством тренера Луи ван Гала раскрыли свой талант такие легионеры , как Яри Литманен , Нванкво Кану и Финиди Джордж .	тренера
В октябре 2007 года Лиссабон принимал у себя саммит ЕС 2007 , где было достигнуто соглашение о новой модели организации ЕС .	соглашение
Человек должен осознавать себя и быть ответственным за себя , если он хочет стать самим собой .	хочет
Поддержку музыканту оказывал музыкальный критик Семён Кругликов , одобрительно отзывался о его таланте Пётр Чайковский , рекомендовавший его на пост дирижёра Малого театра в 1892 году .	музыкальный
Впервые в письменных источниках Олонец упоминается в приписке к Уставу новгородского князя Святослава Ольговича .	источниках
Россия просто не может конкурировать на мировом рынке с тёплыми Европой , США , Китаем , Бразилией , Японией .	рынке
В высших учебных заведениях дети учились уже со сверстниками .	учебных
Жоанно ( ) — фамилия трёх французских художников , родных братьев .	братьев
10 июня — 6 октября 1827 года , командуя кораблём « Азов » , совершил переход из Кронштадта на Средиземное море .	переход
В 2011 году объём ВРП увеличился на 5,4	объём
Хвост : слишком короткий , слишком длинный , хвост с изломом , закрученный конец хвоста .	конец
Хан Большой Орды Шейх-Ахмед при впадении реки Сосны в Дон соединился с войском своего старшего брата Сеид-Ахмеда .	старшего
Гражданские эксплуатанты самолётов Ан-124-100 : КБ Антонова ( Авиант , Авиалинии Антонова ) и АК « Волга-Днепр » .	самолётов
Для получения плутония применяется как обогащённый , так и природный уран .	применяется
ОУ , применяемые в АВМ , принято делить на пять классов , из которых ОУ первого и второго класса имеют только один вход .	классов
Несколько перстней украшали пальцы обеих рук .	обеих
Во время восстания индейцев в Иллинойсе вступил в ополчение , был избран капитаном , но в боевых действиях не участвовал .	действиях
ЦСКА и « Крылья Советов » отправились в турне на игры против клубов НХЛ , где выступили очень даже неплохо .	клубов
Получив музыкальное образование и опыт в Италии , он затем переселился в Лондон , впоследствии стал английским подданным .	опыт
Осенью Курёхин дал серию сольных фортепианных концертов в США и вместе с гитаристом-импровизатором Генри Кайзером записал альбом « Popular Science » , который вышел на лейбле .	серию
До 1889 — виолончелист в оркестре Санкт-Петербургских императорских театров , одновременно с 1855 г. играл в одном из ведущих российских квартетных составов .	ведущих
Но он не был настолько больным в это время .	настолько
По словам председателя правления Национального банка Республики Беларусь Петра Прокоповича , белорусский рубль должен был стать полностью конвертируемым в 2010 году .	банка
Данный полк входил в состав 7-й гвардейской армии под командованием генерал-лейтенанта М .	гвардейской
В январе 2007 году введен в эксплуатацию цех разделения воздуха , который позволил полностью обеспечить комбинат кислородом и азотом собственного производства .	воздуха
Один из них – глава контрразведки « Хезболлы » Мустафа Амир Бадреддин , действовал под именем ливанского христианина " Сами Исса " .	глава
Главным инициатором создания консерватории был Н .	консерватории
